candle_num,timestamp,close,open,high,low,volume,action,confidence,event,equity,total_candles,vote_claude,vote_deepseek
43,2026-02-21 18:00:00,68544.0,68400.0,68610.0,68333.0,915.17605,BUY,100,In Position (PnL +1.9%),10009.7,480,Buy,Buy
44,2026-02-21 19:00:00,68511.0,68544.0,68620.0,68477.0,284.35717,BUY,100,In Position (PnL +1.8%),10003.93,480,Buy,Buy
45,2026-02-21 20:00:00,68176.0,68510.0,68562.0,68171.0,454.57047,SELL,50,"-> CLOSE @ $68,176",9945.29,480,Do Nothing,Sell
46,2026-02-21 21:00:00,68339.0,68177.0,68339.0,68150.0,220.4493,BUY,50,"-> OPEN LONG @ $68,339",9945.29,480,Do Nothing,Buy
47,2026-02-21 22:00:00,67940.0,68338.0,68387.0,67869.0,674.13837,SELL,100,"-> CLOSE @ $67,940",9875.62,480,Sell,Sell
48,2026-02-21 23:00:00,67935.0,67939.0,68072.0,67898.0,491.85073,SELL,50,No Position,9875.62,480,Do Nothing,Sell
49,2026-02-22 00:00:00,67903.0,67932.0,68020.0,67763.0,521.82117,SELL,100,No Position,9875.62,480,Sell,Sell
50,2026-02-22 01:00:00,68115.0,67903.0,68136.0,67901.0,536.4488,SELL,50,No Position,9875.62,480,Do Nothing,Sell
51,2026-02-22 02:00:00,67864.0,68114.0,68185.0,67831.0,288.85817,SELL,50,No Position,9875.62,480,Do Nothing,Sell
52,2026-02-22 03:00:00,68010.0,67865.0,68028.0,67785.0,223.30496,SELL,50,No Position,9875.62,480,Do Nothing,Sell
53,2026-02-22 04:00:00,67950.0,68010.0,68045.0,67926.0,123.13389,SELL,50,No Position,9875.62,480,Do Nothing,Sell
54,2026-02-22 05:00:00,67945.0,67950.0,67979.0,67857.0,279.32799,SELL,50,No Position,9875.62,480,Do Nothing,Sell
55,2026-02-22 06:00:00,68000.0,67945.0,68142.0,67933.0,361.12632,NOTHING,100,No Position,9875.62,480,Do Nothing,Do Nothing
56,2026-02-22 07:00:00,67971.0,68000.0,68065.0,67966.0,269.7598,NOTHING,100,No Position,9875.62,480,Do Nothing,Do Nothing
57,2026-02-22 08:00:00,67925.0,67971.0,67985.0,67885.0,299.25806,NOTHING,100,No Position,9875.62,480,Do Nothing,Do Nothing
58,2026-02-22 09:00:00,68019.0,67926.0,68062.0,67926.0,230.7136,NOTHING,100,No Position,9875.62,480,Do Nothing,Do Nothing
59,2026-02-22 10:00:00,68108.0,68020.0,68124.0,67992.0,395.99627,NOTHING,100,No Position,9875.62,480,Do Nothing,Do Nothing
60,2026-02-22 11:00:00,68180.0,68107.0,68225.0,68105.0,410.07839,BUY,100,"-> OPEN LONG @ $68,180",9875.62,480,Buy,Buy
61,2026-02-22 12:00:00,67899.0,68179.0,68200.0,67847.0,677.36962,NOTHING,100,In Position (PnL -1.2%),9826.77,480,Do Nothing,Do Nothing
62,2026-02-22 13:00:00,67622.0,67900.0,68017.0,67534.0,1315.25377,SELL,100,"-> CLOSE @ $67,622",9778.63,480,Sell,Sell
63,2026-02-22 14:00:00,67417.0,67622.0,67654.0,67323.0,902.65681,SELL,100,No Position,9778.63,480,Sell,Sell
64,2026-02-22 15:00:00,67657.0,67416.0,67783.0,67280.0,969.41216,SELL,50,No Position,9778.63,480,Do Nothing,Sell
65,2026-02-22 16:00:00,67600.0,67656.0,67685.0,67482.0,283.60444,SELL,50,No Position,9778.63,480,Do Nothing,Sell
66,2026-02-22 17:00:00,67351.0,67601.0,67603.0,67145.0,1378.65172,SELL,100,No Position,9778.63,480,Sell,Sell
67,2026-02-22 18:00:00,67398.0,67353.0,67431.0,67287.0,865.90705,SELL,100,No Position,9778.63,480,Sell,Sell
68,2026-02-22 19:00:00,67391.0,67397.0,67457.0,67367.0,258.24488,SELL,100,No Position,9778.63,480,Sell,Sell
69,2026-02-22 20:00:00,67361.0,67390.0,67466.0,67306.0,371.91731,SELL,100,No Position,9778.63,480,Sell,Sell
70,2026-02-22 21:00:00,67571.0,67362.0,67606.0,67362.0,241.00857,SELL,50,No Position,9778.63,480,Do Nothing,Sell
71,2026-02-22 22:00:00,67632.0,67570.0,67713.0,67449.0,612.41361,SELL,100,No Position,9778.63,480,Sell,Sell
72,2026-02-22 23:00:00,67602.0,67633.0,67689.0,67427.0,559.39047,SELL,50,No Position,9778.63,480,Do Nothing,Sell
73,2026-02-23 00:00:00,66700.0,67602.0,67637.0,66675.0,1302.83018,SELL,100,No Position,9778.63,480,Sell,Sell
74,2026-02-23 01:00:00,64393.0,66700.0,66700.0,64260.0,6280.04753,SELL,100,No Position,9778.63,480,Sell,Sell
75,2026-02-23 02:00:00,64753.0,64394.0,64883.0,64284.0,2165.56108,SELL,100,No Position,9778.63,480,Sell,Sell
76,2026-02-23 03:00:00,64902.0,64753.0,65027.0,64675.0,1332.11408,SELL,100,No Position,9778.63,480,Sell,Sell
77,2026-02-23 04:00:00,64785.0,64902.0,64995.0,64656.0,837.03366,SELL,100,No Position,9778.63,480,Sell,Sell
78,2026-02-23 05:00:00,65043.0,64785.0,65183.0,64783.0,1577.24863,SELL,100,No Position,9778.63,480,Sell,Sell
79,2026-02-23 06:00:00,65725.0,65044.0,65777.0,65003.0,2068.8407,SELL,100,No Position,9778.63,480,Sell,Sell
80,2026-02-23 07:00:00,65928.0,65726.0,65981.0,65623.0,1831.55787,SELL,50,No Position,9778.63,480,Do Nothing,Sell
81,2026-02-23 08:00:00,65652.0,65929.0,65931.0,65540.0,1176.58927,SELL,50,No Position,9778.63,480,Do Nothing,Sell
82,2026-02-23 09:00:00,66370.0,65652.0,66420.0,65652.0,1515.65941,BUY,50,"-> OPEN LONG @ $66,370",9778.63,480,Do Nothing,Buy
83,2026-02-23 10:00:00,66290.0,66372.0,66570.0,66196.0,1025.80982,SELL,50,"-> CLOSE @ $66,290",9764.48,480,Do Nothing,Sell
84,2026-02-23 11:00:00,66166.0,66290.0,66455.0,66065.0,1287.62455,SELL,50,No Position,9764.48,480,Do Nothing,Sell
85,2026-02-23 12:00:00,66235.0,66166.0,66472.0,65857.0,1997.77033,BUY,50,"-> OPEN LONG @ $66,235",9764.48,480,Do Nothing,Buy
86,2026-02-23 13:00:00,66096.0,66236.0,66408.0,66062.0,1008.14393,NOTHING,100,In Position (PnL -0.6%),9739.89,480,Do Nothing,Do Nothing
87,2026-02-23 14:00:00,65892.0,66096.0,66228.0,65500.0,2036.68357,SELL,50,"-> CLOSE @ $65,892",9703.8,480,Do Nothing,Sell
88,2026-02-23 15:00:00,65623.0,65893.0,66196.0,65532.0,1711.03907,SELL,50,No Position,9703.8,480,Do Nothing,Sell
89,2026-02-23 16:00:00,65323.0,65621.0,65684.0,65145.0,2121.8347,SELL,100,No Position,9703.8,480,Sell,Sell
90,2026-02-23 17:00:00,64777.0,65326.0,65415.0,64122.0,4383.05022,SELL,100,No Position,9703.8,480,Sell,Sell
91,2026-02-23 18:00:00,64599.0,64779.0,65165.0,64553.0,2795.72217,SELL,100,No Position,9703.8,480,Sell,Sell
92,2026-02-23 19:00:00,64270.0,64598.0,64827.0,64072.0,3102.95314,SELL,100,No Position,9703.8,480,Sell,Sell
93,2026-02-23 20:00:00,64450.0,64270.0,64453.0,63859.0,2100.4723,SELL,100,No Position,9703.8,480,Sell,Sell
94,2026-02-23 21:00:00,64559.0,64449.0,64769.0,64432.0,1059.98306,SELL,100,No Position,9703.8,480,Sell,Sell
95,2026-02-23 22:00:00,64704.0,64559.0,65000.0,64536.0,1649.25275,SELL,100,No Position,9703.8,480,Sell,Sell
96,2026-02-23 23:00:00,64631.0,64705.0,64889.0,64504.0,1341.61276,SELL,100,No Position,9703.8,480,Sell,Sell
97,2026-02-24 00:00:00,64921.0,64631.0,64994.0,64630.0,904.70113,SELL,50,No Position,9703.8,480,Do Nothing,Sell
98,2026-02-24 01:00:00,64130.0,64922.0,64922.0,63416.0,7166.43662,SELL,100,No Position,9703.8,480,Sell,Sell
99,2026-02-24 02:00:00,64081.0,64129.0,64479.0,63951.0,1688.6588,SELL,100,No Position,9703.8,480,Sell,Sell
100,2026-02-24 03:00:00,63559.0,64081.0,64081.0,63313.0,2032.23717,SELL,100,No Position,9703.8,480,Sell,Sell
101,2026-02-24 04:00:00,63352.0,63560.0,63599.0,62839.0,2615.84093,SELL,100,No Position,9703.8,480,Sell,Sell
102,2026-02-24 05:00:00,63075.0,63352.0,63520.0,62667.0,1735.88042,SELL,100,No Position,9703.8,480,Sell,Sell
103,2026-02-24 06:00:00,63055.0,63075.0,63292.0,62865.0,1233.39978,SELL,100,No Position,9703.8,480,Sell,Sell
104,2026-02-24 07:00:00,63173.0,63054.0,63337.0,62889.0,919.48681,SELL,100,No Position,9703.8,480,Sell,Sell
105,2026-02-24 08:00:00,63387.0,63171.0,63414.0,62993.0,985.89782,SELL,100,No Position,9703.8,480,Sell,Sell
106,2026-02-24 09:00:00,63222.0,63387.0,63398.0,62909.0,704.7045,SELL,100,No Position,9703.8,480,Sell,Sell
107,2026-02-24 10:00:00,63257.0,63223.0,63343.0,63089.0,543.32405,SELL,50,No Position,9703.8,480,Do Nothing,Sell
108,2026-02-24 11:00:00,63196.0,63256.0,63302.0,63035.0,976.674,SELL,100,No Position,9703.8,480,Sell,Sell
109,2026-02-24 12:00:00,62941.0,63197.0,63330.0,62930.0,1570.38729,SELL,100,No Position,9703.8,480,Sell,Sell
110,2026-02-24 13:00:00,62883.0,62941.0,63070.0,62468.0,2514.9918,SELL,100,No Position,9703.8,480,Sell,Sell
111,2026-02-24 14:00:00,63432.0,62884.0,63826.0,62747.0,3524.60629,SELL,100,No Position,9703.8,480,Sell,Sell
112,2026-02-24 15:00:00,63957.0,63432.0,64023.0,63290.0,3586.36719,BUY,100,"-> OPEN LONG @ $63,957",9703.8,480,Buy,Buy
113,2026-02-24 16:00:00,64232.0,63956.0,64408.0,63650.0,3443.44125,BUY,100,In Position (PnL +1.3%),9753.87,480,Buy,Buy
114,2026-02-24 17:00:00,64186.0,64233.0,64503.0,64014.0,2361.08135,BUY,100,In Position (PnL +1.1%),9745.5,480,Buy,Buy
115,2026-02-24 18:00:00,64394.0,64186.0,64471.0,63880.0,2507.99733,BUY,100,In Position (PnL +2.0%),9783.37,480,Buy,Buy
116,2026-02-24 19:00:00,64403.0,64395.0,64719.0,64200.0,3172.57433,BUY,100,In Position (PnL +2.1%),9785.01,480,Buy,Buy
117,2026-02-24 20:00:00,64431.0,64403.0,64548.0,64287.0,716.57801,BUY,100,In Position (PnL +2.2%),9790.1,480,Buy,Buy
118,2026-02-24 21:00:00,63994.0,64435.0,64435.0,63781.0,3850.50897,NOTHING,100,In Position (PnL +0.2%),9710.54,480,Do Nothing,Do Nothing
119,2026-02-24 22:00:00,64088.0,63993.0,64183.0,63930.0,512.03922,BUY,50,In Position (PnL +0.6%),9727.65,480,Do Nothing,Buy
120,2026-02-24 23:00:00,64015.0,64087.0,64209.0,63800.0,1310.88444,NOTHING,100,In Position (PnL +0.3%),9714.36,480,Do Nothing,Do Nothing
121,2026-02-25 00:00:00,64186.0,64015.0,64280.0,63852.0,1353.47008,BUY,50,In Position (PnL +1.1%),9745.5,480,Do Nothing,Buy
122,2026-02-25 01:00:00,65865.0,64185.0,66266.0,64116.0,8573.69886,BUY,100,"TP @ $65,663",10014.33,480,Buy,Buy
123,2026-02-25 02:00:00,65854.0,65866.0,66326.0,65837.0,1653.34583,BUY,100,"-> OPEN LONG @ $65,854",10014.33,480,Buy,Buy
124,2026-02-25 03:00:00,65356.0,65855.0,65923.0,65329.0,1782.08037,SELL,50,"-> CLOSE @ $65,356",9923.45,480,Do Nothing,Sell
125,2026-02-25 04:00:00,65427.0,65357.0,65630.0,65100.0,901.17919,BUY,50,"-> OPEN LONG @ $65,427",9923.45,480,Do Nothing,Buy
126,2026-02-25 05:00:00,64851.0,65429.0,65489.0,64726.0,1198.22419,SELL,50,"-> CLOSE @ $64,851",9818.61,480,Do Nothing,Sell
127,2026-02-25 06:00:00,64865.0,64852.0,65093.0,64835.0,660.72814,SELL,50,No Position,9818.61,480,Do Nothing,Sell
128,2026-02-25 07:00:00,64997.0,64865.0,65181.0,64758.0,960.0371,SELL,50,No Position,9818.61,480,Do Nothing,Sell
129,2026-02-25 08:00:00,65494.0,64997.0,65560.0,64931.0,994.96343,BUY,100,"-> OPEN LONG @ $65,494",9818.61,480,Buy,Buy
130,2026-02-25 09:00:00,65529.0,65494.0,65657.0,65401.0,461.55408,BUY,100,In Position (PnL +0.2%),9824.91,480,Buy,Buy
131,2026-02-25 10:00:00,65371.0,65529.0,65623.0,65320.0,247.89102,SELL,50,"-> CLOSE @ $65,371",9796.49,480,Do Nothing,Sell
132,2026-02-25 11:00:00,65398.0,65370.0,65446.0,65163.0,417.11538,SELL,50,No Position,9796.49,480,Do Nothing,Sell
133,2026-02-25 12:00:00,66040.0,65398.0,66200.0,65297.0,1849.4923,BUY,100,"-> OPEN LONG @ $66,040",9796.49,480,Buy,Buy
134,2026-02-25 13:00:00,66210.0,66039.0,66648.0,65995.0,1670.16635,BUY,100,In Position (PnL +0.8%),9826.75,480,Buy,Buy
135,2026-02-25 14:00:00,66943.0,66209.0,66984.0,66165.0,2422.0678,BUY,100,In Position (PnL +4.1%),9957.23,480,Buy,Buy
136,2026-02-25 15:00:00,67368.0,66942.0,67534.0,66690.0,2844.5481,BUY,100,In Position (PnL +6.0%),10032.88,480,Buy,Buy
137,2026-02-25 16:00:00,68264.0,67366.0,68275.0,67366.0,3989.29642,BUY,100,"TP @ $67,801",10109.97,480,Buy,Buy
138,2026-02-25 17:00:00,68624.0,68264.0,68847.0,67988.0,4477.14107,BUY,100,"-> OPEN LONG @ $68,624",10109.97,480,Buy,Buy
139,2026-02-25 18:00:00,69277.0,68625.0,69495.0,68329.0,4542.7597,BUY,100,In Position (PnL +2.9%),10225.42,480,Buy,Buy
140,2026-02-25 19:00:00,68994.0,69278.0,69372.0,68743.0,3070.24202,SELL,50,"-> CLOSE @ $68,994",10175.39,480,Do Nothing,Sell
141,2026-02-25 20:00:00,69096.0,68993.0,69326.0,68576.0,1822.47666,BUY,50,"-> OPEN LONG @ $69,096",10175.39,480,Do Nothing,Buy
142,2026-02-25 21:00:00,68881.0,69096.0,69984.0,68726.0,3362.24153,SELL,50,"-> CLOSE @ $68,881",10137.39,480,Do Nothing,Sell
143,2026-02-25 22:00:00,68418.0,68881.0,69140.0,68022.0,2210.86536,SELL,50,No Position,10137.39,480,Do Nothing,Sell
144,2026-02-25 23:00:00,67944.0,68418.0,68659.0,67511.0,2812.06067,SELL,50,No Position,10137.39,480,Do Nothing,Sell
145,2026-02-26 00:00:00,68300.0,67945.0,68498.0,67686.0,2453.45867,SELL,50,No Position,10137.39,480,Do Nothing,Sell
146,2026-02-26 01:00:00,68210.0,68302.0,68662.0,68169.0,1181.69309,SELL,50,No Position,10137.39,480,Do Nothing,Sell
147,2026-02-26 02:00:00,68218.0,68211.0,68301.0,67771.0,891.35069,SELL,50,No Position,10137.39,480,Do Nothing,Sell
148,2026-02-26 03:00:00,68193.0,68218.0,68336.0,68002.0,1086.76133,SELL,50,No Position,10137.39,480,Do Nothing,Sell
149,2026-02-26 04:00:00,68544.0,68193.0,68816.0,68150.0,2164.06598,SELL,50,No Position,10137.39,480,Do Nothing,Sell
150,2026-02-26 05:00:00,68407.0,68544.0,68544.0,68100.0,891.32539,SELL,50,No Position,10137.39,480,Do Nothing,Sell
151,2026-02-26 06:00:00,68143.0,68409.0,68496.0,68039.0,577.22717,SELL,50,No Position,10137.39,480,Do Nothing,Sell
152,2026-02-26 07:00:00,67800.0,68144.0,68266.0,67800.0,886.06513,SELL,50,No Position,10137.39,480,Do Nothing,Sell
153,2026-02-26 08:00:00,67920.0,67801.0,68202.0,67771.0,1008.60154,SELL,50,No Position,10137.39,480,Do Nothing,Sell
154,2026-02-26 09:00:00,68560.0,67921.0,68622.0,67902.0,1514.01708,SELL,50,No Position,10137.39,480,Do Nothing,Sell
155,2026-02-26 10:00:00,68269.0,68560.0,68692.0,68235.0,1298.11692,NOTHING,100,No Position,10137.39,480,Do Nothing,Do Nothing
156,2026-02-26 11:00:00,68012.0,68269.0,68368.0,67956.0,736.56555,SELL,50,No Position,10137.39,480,Do Nothing,Sell
157,2026-02-26 12:00:00,68122.0,68011.0,68259.0,67974.0,1002.37914,NOTHING,100,No Position,10137.39,480,Do Nothing,Do Nothing
158,2026-02-26 13:00:00,67871.0,68123.0,68179.0,67802.0,1208.49396,SELL,50,No Position,10137.39,480,Do Nothing,Sell
159,2026-02-26 14:00:00,67672.0,67870.0,68219.0,67255.0,3572.20322,SELL,100,No Position,10137.39,480,Sell,Sell
160,2026-02-26 15:00:00,67354.0,67671.0,67712.0,66765.0,4677.59265,SELL,100,No Position,10137.39,480,Sell,Sell
161,2026-02-26 16:00:00,66613.0,67353.0,67519.0,66488.0,4180.69152,SELL,100,No Position,10137.39,480,Sell,Sell
162,2026-02-26 17:00:00,66813.0,66614.0,67026.0,66582.0,1780.73751,SELL,50,No Position,10137.39,480,Do Nothing,Sell
163,2026-02-26 18:00:00,67278.0,66813.0,67344.0,66554.0,2119.0596,SELL,50,No Position,10137.39,480,Do Nothing,Sell
164,2026-02-26 19:00:00,67567.0,67278.0,67910.0,67264.0,2573.52461,SELL,50,No Position,10137.39,480,Do Nothing,Sell
165,2026-02-26 20:00:00,67387.0,67567.0,67797.0,67260.0,1038.98553,SELL,50,No Position,10137.39,480,Do Nothing,Sell
166,2026-02-26 21:00:00,67437.0,67388.0,67561.0,67121.0,544.10036,SELL,50,No Position,10137.39,480,Do Nothing,Sell
167,2026-02-26 22:00:00,67541.0,67437.0,67607.0,67299.0,503.96627,NOTHING,100,No Position,10137.39,480,Do Nothing,Do Nothing
168,2026-02-26 23:00:00,67453.0,67540.0,67626.0,67365.0,519.6001,SELL,50,No Position,10137.39,480,Do Nothing,Sell
169,2026-02-27 00:00:00,67199.0,67452.0,67510.0,66988.0,912.52671,NOTHING,100,No Position,10137.39,480,Do Nothing,Do Nothing
170,2026-02-27 01:00:00,67312.0,67198.0,67346.0,66850.0,777.16725,SELL,50,No Position,10137.39,480,Do Nothing,Sell
171,2026-02-27 02:00:00,67229.0,67312.0,67499.0,67223.0,1075.88918,NOTHING,100,No Position,10137.39,480,Do Nothing,Do Nothing
172,2026-02-27 03:00:00,67572.0,67229.0,67695.0,67069.0,1213.49137,NOTHING,100,No Position,10137.39,480,Do Nothing,Do Nothing
173,2026-02-27 04:00:00,67716.0,67571.0,68178.0,67552.0,1881.99734,NOTHING,100,No Position,10137.39,480,Do Nothing,Do Nothing
174,2026-02-27 05:00:00,67690.0,67715.0,67890.0,67647.0,717.14085,BUY,50,"-> OPEN LONG @ $67,690",10137.39,480,Do Nothing,Buy
175,2026-02-27 06:00:00,67626.0,67689.0,67798.0,67494.0,823.3646,BUY,50,In Position (PnL -0.3%),10125.89,480,Buy,Do Nothing
176,2026-02-27 07:00:00,67654.0,67627.0,67747.0,67425.0,1094.38351,NOTHING,100,In Position (PnL -0.2%),10130.92,480,Do Nothing,Do Nothing
177,2026-02-27 08:00:00,67910.0,67654.0,68034.0,67636.0,1455.47027,BUY,100,In Position (PnL +1.0%),10176.93,480,Buy,Buy
178,2026-02-27 09:00:00,67337.0,67910.0,68127.0,67268.0,1490.64282,SELL,50,"-> CLOSE @ $67,337",10073.95,480,Do Nothing,Sell
179,2026-02-27 10:00:00,66575.0,67336.0,67381.0,66529.0,2533.47355,SELL,100,No Position,10073.95,480,Sell,Sell
180,2026-02-27 11:00:00,66103.0,66575.0,66752.0,65935.0,2767.35837,SELL,100,No Position,10073.95,480,Sell,Sell
181,2026-02-27 12:00:00,65901.0,66103.0,66175.0,65714.0,2096.68708,SELL,100,No Position,10073.95,480,Sell,Sell
182,2026-02-27 13:00:00,66246.0,65900.0,66318.0,65638.0,1628.80984,SELL,100,No Position,10073.95,480,Sell,Sell
183,2026-02-27 14:00:00,65872.0,66245.0,66298.0,65653.0,2458.64942,SELL,100,No Position,10073.95,480,Sell,Sell
184,2026-02-27 15:00:00,66081.0,65870.0,66280.0,65816.0,1445.17266,SELL,100,No Position,10073.95,480,Sell,Sell
185,2026-02-27 16:00:00,65441.0,66080.0,66097.0,65425.0,2483.66937,SELL,100,No Position,10073.95,480,Sell,Sell
186,2026-02-27 17:00:00,65664.0,65440.0,65701.0,65085.0,2203.23125,SELL,100,No Position,10073.95,480,Sell,Sell
187,2026-02-27 18:00:00,65274.0,65663.0,65749.0,65193.0,1017.15814,SELL,100,No Position,10073.95,480,Sell,Sell
188,2026-02-27 19:00:00,65362.0,65273.0,65436.0,65126.0,751.86114,SELL,100,No Position,10073.95,480,Sell,Sell
189,2026-02-27 20:00:00,65557.0,65361.0,65622.0,65361.0,796.99843,SELL,100,No Position,10073.95,480,Sell,Sell
190,2026-02-27 21:00:00,65490.0,65557.0,65696.0,65350.0,596.48688,SELL,100,No Position,10073.95,480,Sell,Sell
191,2026-02-27 22:00:00,65599.0,65490.0,65629.0,64849.0,1134.09625,SELL,50,No Position,10073.95,480,Sell,Do Nothing
192,2026-02-27 23:00:00,65837.0,65599.0,65924.0,65514.0,924.3329,SELL,50,No Position,10073.95,480,Do Nothing,Sell
193,2026-02-28 00:00:00,65908.0,65838.0,65983.0,65685.0,857.17833,BUY,50,"-> OPEN LONG @ $65,908",10073.95,480,Buy,Do Nothing
